position
"{'lat': 34.840378, 'lon': -114.610251}"
"{'lat': 34.83939, 'lon': -114.61009}"
"{'lat': 35.014368, 'lon': -114.643365}"
"{'lat': 34.851041, 'lon': -114.625864}"
"{'lat': 34.802864, 'lon': -114.606638}"
"{'lat': 34.476848, 'lon': -114.321993}"
"{'lat': 34.482583, 'lon': -114.347566}"
"{'lat': 34.482168, 'lon': -114.34859}"
"{'lat': 34.481226, 'lon': -114.348478}"
"{'lat': 34.479805, 'lon': -114.348593}"
"{'lat': 34.47942, 'lon': -114.348327}"
"{'lat': 34.475184, 'lon': -114.344666}"
"{'lat': 34.474858, 'lon': -114.345406}"
"{'lat': 34.473439, 'lon': -114.342875}"
"{'lat': 34.47467, 'lon': -114.3479}"
"{'lat': 34.474802, 'lon': -114.351064}"
"{'lat': 34.470823, 'lon': -114.343339}"
"{'lat': 34.470182, 'lon': -114.342925}"
"{'lat': 34.467935, 'lon': -114.340478}"
"{'lat': 34.468447, 'lon': -114.342235}"
"{'lat': 35.590232, 'lon': -114.273553}"
"{'lat': 34.155196, 'lon': -114.276908}"
"{'lat': 34.154503, 'lon': -114.277999}"
"{'lat': 34.15372, 'lon': -114.280469}"
"{'lat': 35.460918, 'lon': -114.918338}"
"{'lat': 34.15103, 'lon': -114.286734}"
"{'lat': 34.151135, 'lon': -114.287719}"
"{'lat': 34.151299, 'lon': -114.289375}"
"{'lat': 35.460557, 'lon': -114.921464}"
"{'lat': 34.147714, 'lon': -114.290862}"
"{'lat': 35.154049, 'lon': -103.72521}"
"{'lat': 35.154317, 'lon': -103.724535}"
"{'lat': 35.155689, 'lon': -103.724567}"
"{'lat': 35.158791, 'lon': -103.701253}"
"{'lat': 34.94154, 'lon': -104.63685}"
"{'lat': 34.946775, 'lon': -104.637795}"
"{'lat': 34.944283, 'lon': -104.640624}"
"{'lat': 34.946588, 'lon': -104.65182}"
"{'lat': 34.945262, 'lon': -104.661132}"
"{'lat': 34.944755, 'lon': -104.665432}"
"{'lat': 34.944349, 'lon': -104.669573}"
"{'lat': 34.395625, 'lon': -103.329107}"
"{'lat': 34.3963, 'lon': -103.324387}"
"{'lat': 34.396694, 'lon': -103.319748}"
"{'lat': 34.395708, 'lon': -103.297768}"
"{'lat': 34.438862, 'lon': -103.196544}"
"{'lat': 34.436774, 'lon': -103.195839}"
"{'lat': 34.436428, 'lon': -103.195829}"
"{'lat': 34.434706, 'lon': -103.196363}"
"{'lat': 34.434043, 'lon': -103.196322}"
"{'lat': 34.433461, 'lon': -103.196933}"
"{'lat': 34.43054, 'lon': -103.196922}"
"{'lat': 34.419658, 'lon': -103.207066}"
"{'lat': 34.420018, 'lon': -103.205047}"
"{'lat': 34.426137, 'lon': -103.196204}"
"{'lat': 34.426006, 'lon': -103.196109}"
"{'lat': 34.423587, 'lon': -103.197048}"
"{'lat': 34.411539, 'lon': -103.207013}"
"{'lat': 34.404923, 'lon': -103.213925}"
"{'lat': 34.420223, 'lon': -103.196897}"
"{'lat': 34.420609, 'lon': -103.195951}"
"{'lat': 34.410761, 'lon': -103.205803}"
"{'lat': 34.41762, 'lon': -103.197305}"
"{'lat': 34.398256, 'lon': -103.192293}"
"{'lat': 34.390584, 'lon': -103.195797}"
"{'lat': 34.929247, 'lon': -94.102541}"
"{'lat': 34.904337, 'lon': -94.108009}"
"{'lat': 35.139649, 'lon': -93.919963}"
"{'lat': 35.140873, 'lon': -93.912031}"
"{'lat': 35.216895, 'lon': -94.269592}"
"{'lat': 35.216647, 'lon': -94.270589}"
"{'lat': 35.217141, 'lon': -94.271838}"
"{'lat': 35.336496, 'lon': -94.177431}"
"{'lat': 35.2923, 'lon': -93.721379}"
"{'lat': 35.292245, 'lon': -93.716965}"
"{'lat': 35.295931, 'lon': -94.386616}"
"{'lat': 35.350649, 'lon': -94.311917}"
"{'lat': 35.296379, 'lon': -94.387951}"
"{'lat': 35.347701, 'lon': -94.338687}"
"{'lat': 35.346313, 'lon': -94.341797}"
"{'lat': 35.348142, 'lon': -94.341312}"
"{'lat': 35.350082, 'lon': -94.338839}"
"{'lat': 35.348479, 'lon': -94.342316}"
"{'lat': 35.349131, 'lon': -94.343748}"
"{'lat': 35.326082, 'lon': -94.3789}"
"{'lat': 35.351619, 'lon': -94.347278}"
"{'lat': 34.58627, 'lon': -94.222002}"
"{'lat': 34.586199, 'lon': -94.223873}"
"{'lat': 34.586312, 'lon': -94.224924}"
"{'lat': 34.58631, 'lon': -94.224948}"
"{'lat': 35.295595, 'lon': -94.420754}"
"{'lat': 35.352713, 'lon': -94.349748}"
"{'lat': 35.353175, 'lon': -94.353705}"
"{'lat': 35.354917, 'lon': -94.357069}"
"{'lat': 35.355628, 'lon': -94.358774}"
"{'lat': 35.338456, 'lon': -94.38323}"
"{'lat': 35.357186, 'lon': -94.358503}"
"{'lat': 35.35662, 'lon': -94.36089}"
"{'lat': 35.335348, 'lon': -94.390538}"
"{'lat': 35.328388, 'lon': -94.40622}"
"{'lat': 35.3611, 'lon': -94.366848}"
"{'lat': 35.328179, 'lon': -94.410603}"
"{'lat': 35.327599, 'lon': -94.414537}"
"{'lat': 35.361829, 'lon': -94.369643}"
"{'lat': 35.32706, 'lon': -94.416279}"
"{'lat': 35.327589, 'lon': -94.417718}"
"{'lat': 35.328627, 'lon': -94.418312}"
"{'lat': 35.363458, 'lon': -94.373195}"
"{'lat': 35.328462, 'lon': -94.421437}"
"{'lat': 35.36693, 'lon': -94.37511}"
"{'lat': 35.364713, 'lon': -94.378761}"
"{'lat': 35.338344, 'lon': -94.414833}"
"{'lat': 35.367373, 'lon': -94.379785}"
"{'lat': 35.334987, 'lon': -94.423592}"
"{'lat': 35.336726, 'lon': -94.422062}"
"{'lat': 35.337091, 'lon': -94.42163}"
"{'lat': 35.336818, 'lon': -94.423242}"
"{'lat': 35.337657, 'lon': -94.423214}"
"{'lat': 35.368403, 'lon': -94.385432}"
"{'lat': 35.383372, 'lon': -94.374446}"
"{'lat': 35.367714, 'lon': -94.403935}"
"{'lat': 35.386032, 'lon': -94.384784}"
"{'lat': 35.386325, 'lon': -94.385845}"
"{'lat': 35.375339, 'lon': -94.402688}"
"{'lat': 35.403085, 'lon': -94.368192}"
"{'lat': 35.385708, 'lon': -94.400679}"
"{'lat': 35.372415, 'lon': -94.421747}"
"{'lat': 35.385753, 'lon': -94.403832}"
"{'lat': 35.386377, 'lon': -94.403663}"
"{'lat': 35.37414, 'lon': -94.421691}"
"{'lat': 35.055757, 'lon': -94.622111}"
"{'lat': 35.064697, 'lon': -94.62268}"
"{'lat': 35.481236, 'lon': -94.22657}"
"{'lat': 35.066184, 'lon': -94.625006}"
"{'lat': 35.443324, 'lon': -94.325404}"
"{'lat': 35.067229, 'lon': -94.626593}"
