restaurant_name,name_id
KFC,303
McDonald's,304
Don Pancho's,305
Oasis Ice Cream Parlor,306
Five Guys,307
Jack in The Box,308
BURGER KING,309
El Pollo Loco,310
Carl's Junior,311
Rally's,312
Wienerschnitzel,313
Jack in The Box,314
Taco Bell,315
Luzita's Taco Shop,316
Armando's Mexican Food,317
All American Sandwiches 'N Pizza,318
Popeyes,319
Chick-fil-A,320
McDonald's,321
McDonald's,322
Jack in The Box,323
Mrs. Rice's Oriental Restaurant,324
Taco Bell,325
KFC San Diego,326
KFC Chula Vista,327
McDonald's,328
Carl's Junior,329
Yoshinoya,330
Panda Express,331
El Pollo Loco,332
Asada Taco Shop,333
Jack in The Box,334
Carl's Junior,335
Jack in The Box,336
Great Happiness Chinese Fast Food 2 Cove,337
Carl's Junior,338
McDonald's,339
Wienerschnitzel,340
BURGER KING,341
Panda Express,342
McDonald's,343
Rally's,344
La India Bonita,345
Carl's Junior,346
McDonald's,347
Wendy's,348
Five Guys,349
Jack in The Box,350
Carl's Junior,351
Buffalo Wild Wings,352
Wienerschnitzel,353
BURGER KING,354
Jack in The Box,355
El Pollo Loco,356
Tacos El Gordo de Tijuana,357
KFC Chula Vista,358
McDonald's,359
McDonald's,360
Ahan Lao,361
Taco Bell,362
Wendy's,363
Filippis Pizza Grotto,364
KFC Chula Vista,365
Bull's Eye Burgers & Brew,366
Jack in The Box,367
Canada Steak Burger,368
McDonald's,369
Lolita's Taco Shop,370
Panda Express,371
Jack in The Box,372
Jack in The Box,373
McDonald's,374
McDonald's,375
In-N-Out Burger,376
Clayton's Take Out,377
Panda Express,378
Taco Bell,379
Jack in The Box,380
Chick-fil-A,381
Auntie Anne's,382
BURGER KING,383
Taco Bell,384
Cinnabon Las Americas Premium Outlets,385
Carl's Junior,386
Panda Express,387
McDonald's,388
Popeyes,389
McDonald's,390
KFC,391
KFC,392
BURGER KING,393
Jack in The Box,394
Taqueria Revolucion,395
Carl's Junior,396
McDonald's,397
Tuetano Taqueria,398
Albertos,399
KFC,400
KFC Imperial Beach,401
Don Pancho's,402
Oasis Ice Cream Parlor,403
Five Guys,404
Jack in The Box,405
BURGER KING,406
McDonald's,407
Carl's Junior,408
Taco Bell,409
Wienerschnitzel,410
Jack in The Box,411
El Pollo Loco,412
Rally's,413
Luzita's Taco Shop,414
Armando's Mexican Food,415
All American Sandwiches 'N Pizza,416
Popeyes,417
Chick-fil-A,418
Jack in The Box,419
McDonald's,420
McDonald's,421
Taco Bell,422
KFC San Diego,423
Carl's Junior,424
Carl's Junior,425
McDonald's,426
Jack in The Box,427
Mrs. Rice's Oriental Restaurant,428
Yoshinoya,429
KFC Chula Vista,430
McDonald's,431
Asada Taco Shop,432
Jack in The Box,433
Great Happiness Chinese Fast Food 2 Cove,434
Panda Express,435
Panda Express,436
El Pollo Loco,437
Wendy's,438
Carl's Junior,439
Wienerschnitzel,440
BURGER KING,441
McDonald's,442
La India Bonita,443
Carl's Junior,444
Rally's,445
Jack in The Box,446
Carl's Junior,447
McDonald's,448
BURGER KING,449
El Pollo Loco,450
Tacos El Gordo de Tijuana,451
Five Guys,452
Buffalo Wild Wings,453
Wienerschnitzel,454
Jack in The Box,455
KFC Chula Vista,456
McDonald's,457
McDonald's,458
Taco Bell,459
Ahan Lao,460
KFC Chula Vista,461
Wendy's,462
Canada Steak Burger,463
Lolita's Taco Shop,464
Filippis Pizza Grotto,465
McDonald's,466
Bull's Eye Burgers & Brew,467
Jack in The Box,468
McDonald's,469
Jack in The Box,470
Taco Bell,471
Panda Express,472
Jack in The Box,473
Jack in The Box,474
BURGER KING,475
Taco Bell,476
Cinnabon Las Americas Premium Outlets,477
McDonald's,478
Carl's Junior,479
Panda Express,480
McDonald's,481
Popeyes,482
KFC,483
KFC,484
BURGER KING,485
Jack in The Box,486
Taqueria Revolucion,487
Tuetano Taqueria,488
Carl's Junior,489
McDonald's,490
KFC,491
Albertos,492
KFC Imperial Beach,493
Oasis Ice Cream Parlor,494
Five Guys,495
Taco Bell,496
BURGER KING,497
McDonald's,498
Jack in The Box,499
El Pollo Loco,500
Carl's Junior,501
Rally's,502
Don Pancho's,503
Jack in The Box,504
Luzita's Taco Shop,505
Wienerschnitzel,506
Jack in The Box,507
Carl's Junior,508
Armando's Mexican Food,509
McDonald's,510
All American Sandwiches 'N Pizza,511
Popeyes,512
Chick-fil-A,513
McDonald's,514
Taco Bell,515
Carl's Junior,516
McDonald's,517
KFC San Diego,518
Wendy's,519
Asada Taco Shop,520
Jack in The Box,521
Mrs. Rice's Oriental Restaurant,522
Yoshinoya,523
KFC Chula Vista,524
McDonald's,525
Panda Express,526
Jack in The Box,527
Great Happiness Chinese Fast Food 2 Cove,528
Panda Express,529
El Pollo Loco,530
Carl's Junior,531
Wienerschnitzel,532
BURGER KING,533
La India Bonita,534
McDonald's,535
Carl's Junior,536
Rally's,537
Jack in The Box,538
KFC Chula Vista,539
McDonald's,540
McDonald's,541
BURGER KING,542
Five Guys,543
Carl's Junior,544
Buffalo Wild Wings,545
Wienerschnitzel,546
Jack in The Box,547
El Pollo Loco,548
Tacos El Gordo de Tijuana,549
Canada Steak Burger,550
Lolita's Taco Shop,551
McDonald's,552
McDonald's,553
KFC Chula Vista,554
Taco Bell,555
Ahan Lao,556
Wendy's,557
Filippis Pizza Grotto,558
Bull's Eye Burgers & Brew,559
Jack in The Box,560
In-N-Out Burger,561
It's Just Wings,562
Buffalo Wild Wings,563
Taco Bell,564
Tacos El Poblano,565
Panda Express,566
BURGER KING,567
It's Just Wings,568
Jack in The Box,569
Jack in The Box,570
Jack in The Box,571
McDonald's,572
Carl's Junior,573
BURGER KING,574
Taco Bell,575
McDonald's,576
Carl's Junior,577
Panda Express,578
McDonald's,579
Cinnabon Las Americas Premium Outlets,580
Popeyes,581
KFC,582
KFC,583
BURGER KING,584
Taqueria Revolucion,585
Jack in The Box,586
Tuetano Taqueria,587
McDonald's,588
Carl's Junior,589
KFC,590
Jack in The Box,591
Carl's Junior,592
McDonald's,593
Albertos,594
KFC Imperial Beach,595
Jack in The Box,596
Oasis Ice Cream Parlor,597
Taco Bell,598
Luzita's Taco Shop,599
BURGER KING,600
McDonald's,601
El Pollo Loco,602
Carl's Junior,603
Rally's,604
Don Pancho's,605
Five Guys,606
Jack in The Box,607
Wienerschnitzel,608
Chick-fil-A,609
Wendy's,610
Armando's Mexican Food,611
All American Sandwiches 'N Pizza,612
Popeyes,613
McDonald's,614
McDonald's,615
Taco Bell,616
KFC San Diego,617
Carl's Junior,618
Asada Taco Shop,619
Panda Express,620
Jack in The Box,621
Mrs. Rice's Oriental Restaurant,622
KFC Chula Vista,623
McDonald's,624
Great Happiness Chinese Fast Food 2 Cove,625
Jack in The Box,626
Yoshinoya,627
El Pollo Loco,628
Panda Express,629
La India Bonita,630
Carl's Junior,631
Wienerschnitzel,632
BURGER KING,633
McDonald's,634
Carl's Junior,635
Rally's,636
KFC Chula Vista,637
McDonald's,638
Jack in The Box,639
McDonald's,640
BURGER KING,641
Five Guys,642
Carl's Junior,643
Buffalo Wild Wings,644
Wienerschnitzel,645
Jack in The Box,646
El Pollo Loco,647
Tacos El Gordo de Tijuana,648
Canada Steak Burger,649
Lolita's Taco Shop,650
In-N-Out Burger,651
