lat,lon,postion_id
39.784879,-98.203165,1
39.555641,-97.657877,2
39.563138,-97.657883,3
39.560193,-97.656937,4
40.01987,-98.0705,5
38.881568,-98.85653,6
38.865429,-98.85357,7
39.755694,-99.321983,8
38.87833,-97.611014,9
38.827624,-97.635594,10
38.833172,-97.625544,11
38.827685,-97.633331,12
38.832136,-97.625555,13
38.840113,-97.606151,14
38.826836,-97.624519,15
38.835702,-97.60876,16
38.840133,-97.594463,17
38.828259,-97.594645,18
38.815671,-97.61237,19
38.827369,-97.594519,20
38.826194,-97.594608,21
38.826731,-97.593545,22
38.802057,-97.613658,23
38.802944,-97.611998,24
38.80062,-97.611786,25
38.801425,-97.609372,26
38.809323,-97.594659,27
38.793801,-97.615059,28
38.792203,-97.613551,29
38.791547,-97.613491,30
38.788389,-97.613088,31
38.789074,-97.607251,32
38.782562,-97.614189,33
38.781951,-97.61409,34
38.783094,-97.611875,35
38.781296,-97.613824,36
39.380063,-97.124153,37
38.901439,-99.318474,38
38.895507,-99.316849,39
38.894353,-99.317128,40
38.894522,-99.318611,41
38.888078,-99.317165,42
38.881238,-99.31832,43
38.878994,-99.31817,44
38.874535,-99.317316,45
38.873795,-99.317334,46
38.873548,-99.318387,47
38.870472,-99.317356,48
38.869971,-99.318418,49
38.872547,-99.335444,50
40.104536,-99.368335,51
38.920077,-97.260825,52
38.938485,-97.214365,53
38.937462,-97.214483,54
40.519979,-98.053935,55
38.937698,-97.213221,56
38.930475,-97.214422,57
38.914009,-97.213586,58
40.133312,-99.454257,59
38.580495,-97.668715,60
40.56838,-98.3933,61
40.570063,-98.392823,62
40.57279,-98.392882,63
40.576179,-98.392178,64
40.577661,-98.39296,65
40.5798,-98.392783,66
40.580267,-98.39203,67
40.584949,-98.373633,68
40.584944,-98.391525,69
40.585147,-98.412087,70
38.936788,-99.559791,71
40.593018,-98.399883,72
40.13585,-97.181528,73
40.600973,-98.391801,74
40.602034,-98.391618,75
40.507597,-98.95193,76
40.147586,-97.171654,77
40.615525,-98.381986,78
40.61824,-98.383811,79
40.160637,-97.170848,80
40.621975,-98.383842,81
39.089449,-96.976749,82
38.976745,-97.019146,83
38.347351,-98.214055,84
38.358376,-98.759189,85
38.361385,-98.779176,86
38.361325,-98.784014,87
38.361111,-98.78573,88
38.362163,-98.790616,89
38.361383,-98.7875,90
38.362283,-98.791714,91
38.361383,-98.788118,92
38.361381,-98.792552,93
38.361104,-98.794757,94
40.537807,-97.587782,95
40.437552,-99.367608,96
40.437611,-99.367626,97
40.439152,-99.371512,98
40.437743,-99.382057,99
40.43759,-99.383226,100
39.784879,-98.203165,101
39.555641,-97.657877,102
39.563138,-97.657883,103
39.560193,-97.656937,104
40.01987,-98.0705,105
38.881568,-98.85653,106
38.865429,-98.85357,107
39.755694,-99.321983,108
38.87833,-97.611014,109
38.827624,-97.635594,110
38.833172,-97.625544,111
38.827685,-97.633331,112
38.832136,-97.625555,113
38.840113,-97.606151,114
38.826836,-97.624519,115
38.835702,-97.60876,116
38.840133,-97.594463,117
38.828259,-97.594645,118
38.815671,-97.61237,119
38.827369,-97.594519,120
38.826194,-97.594608,121
38.826731,-97.593545,122
38.802057,-97.613658,123
38.802944,-97.611998,124
38.80062,-97.611786,125
38.801425,-97.609372,126
38.809323,-97.594659,127
38.793801,-97.615059,128
38.792203,-97.613551,129
38.791547,-97.613491,130
38.788389,-97.613088,131
38.789074,-97.607251,132
38.782562,-97.614189,133
38.781951,-97.61409,134
38.783094,-97.611875,135
38.781296,-97.613824,136
39.380063,-97.124153,137
38.901439,-99.318474,138
38.895507,-99.316849,139
38.894353,-99.317128,140
38.894522,-99.318611,141
38.888078,-99.317165,142
38.881238,-99.31832,143
38.878994,-99.31817,144
38.874535,-99.317316,145
38.873795,-99.317334,146
38.873548,-99.318387,147
38.870472,-99.317356,148
38.869971,-99.318418,149
38.872547,-99.335444,150
40.104536,-99.368335,151
38.920077,-97.260825,152
38.938485,-97.214365,153
38.937462,-97.214483,154
40.519979,-98.053935,155
38.937698,-97.213221,156
38.930475,-97.214422,157
38.914009,-97.213586,158
40.133312,-99.454257,159
38.580495,-97.668715,160
40.56838,-98.3933,161
40.570063,-98.392823,162
40.57279,-98.392882,163
40.576179,-98.392178,164
40.577661,-98.39296,165
40.5798,-98.392783,166
40.580267,-98.39203,167
40.584949,-98.373633,168
40.584944,-98.391525,169
40.585147,-98.412087,170
38.936788,-99.559791,171
40.593018,-98.399883,172
40.13585,-97.181528,173
40.600973,-98.391801,174
40.602034,-98.391618,175
40.507597,-98.95193,176
40.147586,-97.171654,177
40.615525,-98.381986,178
40.61824,-98.383811,179
40.160637,-97.170848,180
40.621975,-98.383842,181
39.089449,-96.976749,182
38.976745,-97.019146,183
38.347351,-98.214055,184
38.358376,-98.759189,185
38.361385,-98.779176,186
38.361325,-98.784014,187
38.361111,-98.78573,188
38.362163,-98.790616,189
38.361383,-98.7875,190
38.362283,-98.791714,191
38.361383,-98.788118,192
38.361381,-98.792552,193
38.361104,-98.794757,194
40.537807,-97.587782,195
40.437552,-99.367608,196
40.437611,-99.367626,197
40.439152,-99.371512,198
40.437743,-99.382057,199
40.43759,-99.383226,200
39.784879,-98.203165,201
39.555641,-97.657877,202
39.563138,-97.657883,203
39.560193,-97.656937,204
40.01987,-98.0705,205
38.881568,-98.85653,206
38.865429,-98.85357,207
39.755694,-99.321983,208
38.87833,-97.611014,209
38.827624,-97.635594,210
38.833172,-97.625544,211
38.827685,-97.633331,212
38.832136,-97.625555,213
38.840113,-97.606151,214
38.826836,-97.624519,215
38.835702,-97.60876,216
38.840133,-97.594463,217
38.828259,-97.594645,218
38.815671,-97.61237,219
38.827369,-97.594519,220
38.826194,-97.594608,221
38.826731,-97.593545,222
38.802057,-97.613658,223
38.802944,-97.611998,224
38.80062,-97.611786,225
38.801425,-97.609372,226
38.809323,-97.594659,227
38.793801,-97.615059,228
38.792203,-97.613551,229
38.791547,-97.613491,230
38.788389,-97.613088,231
38.789074,-97.607251,232
38.782562,-97.614189,233
38.781951,-97.61409,234
38.783094,-97.611875,235
38.781296,-97.613824,236
39.380063,-97.124153,237
