index,locationabbr,state_code,State_County_Code,POVERTY_RATE,YEAR
185,AR,05,05149,20.3,2010
186,CA,06,06001,13.5,2010
187,CA,06,06003,16.9,2010
188,CA,06,06005,12.8,2010
189,CA,06,06007,20.1,2010
190,CA,06,06009,11.1,2010
191,CA,06,06011,14.9,2010
192,CA,06,06013,9.3,2010
193,CA,06,06015,23.5,2010
194,CA,06,06017,9.4,2010
195,CA,06,06019,26.8,2010
196,CA,06,06021,17.6,2010
197,CA,06,06023,18.0,2010
198,CA,06,06025,22.3,2010
199,CA,06,06027,13.9,2010
200,CA,06,06029,21.4,2010
201,CA,06,06031,22.5,2010
202,CA,06,06033,21.0,2010
203,CA,06,06035,16.8,2010
204,CA,06,06037,17.6,2010
205,CA,06,06039,21.7,2010
206,CA,06,06041,9.2,2010
207,CA,06,06043,14.8,2010
208,CA,06,06045,19.6,2010
209,CA,06,06047,23.1,2010
210,CA,06,06049,21.9,2010
211,CA,06,06051,10.8,2010
212,CA,06,06053,17.1,2010
213,CA,06,06055,10.7,2010
214,CA,06,06057,11.7,2010
215,CA,06,06059,12.2,2010
216,CA,06,06061,9.1,2010
217,CA,06,06063,15.3,2010
218,CA,06,06065,16.4,2010
219,CA,06,06067,16.7,2010
220,CA,06,06069,12.7,2010
221,CA,06,06071,18.1,2010
222,CA,06,06073,14.8,2010
223,CA,06,06075,12.8,2010
224,CA,06,06077,19.0,2010
225,CA,06,06079,14.3,2010
226,CA,06,06081,7.0,2010
227,CA,06,06083,17.7,2010
228,CA,06,06085,10.6,2010
229,CA,06,06087,14.2,2010
230,CA,06,06089,18.2,2010
231,CA,06,06091,13.4,2010
232,CA,06,06093,21.5,2010
233,CA,06,06095,12.2,2010
234,CA,06,06097,12.8,2010
235,CA,06,06099,19.7,2010
236,CA,06,06101,16.8,2010
237,CA,06,06103,20.4,2010
238,CA,06,06105,18.4,2010
239,CA,06,06107,24.6,2010
240,CA,06,06109,15.2,2010
241,CA,06,06111,11.0,2010
242,CA,06,06113,16.4,2010
243,CA,06,06115,20.7,2010
244,CO,08,08001,13.0,2010
245,CO,08,08003,21.0,2010
246,CO,08,08005,11.4,2010
247,CO,08,08007,13.1,2010
248,CO,08,08009,17.3,2010
249,CO,08,08011,30.9,2010
250,CO,08,08013,13.6,2010
251,CO,08,08014,6.0,2010
252,CO,08,08015,12.9,2010
253,CO,08,08017,12.1,2010
254,CO,08,08019,8.6,2010
255,CO,08,08021,21.3,2010
256,CO,08,08023,25.7,2010
257,CO,08,08025,34.7,2010
258,CO,08,08027,15.0,2010
259,CO,08,08029,15.7,2010
260,CO,08,08031,21.3,2010
261,CO,08,08033,12.9,2010
262,CO,08,08035,3.5,2010
263,CO,08,08037,8.5,2010
264,CO,08,08039,6.5,2010
265,CO,08,08041,13.4,2010
266,CO,08,08043,16.7,2010
267,CO,08,08045,9.6,2010
268,CO,08,08047,7.5,2010
269,CO,08,08049,8.3,2010
270,CO,08,08051,14.5,2010
271,CO,08,08053,9.4,2010
272,CO,08,08055,22.7,2010
273,CO,08,08057,15.1,2010
274,CO,08,08059,8.8,2010
275,CO,08,08061,13.0,2010
276,CO,08,08063,14.0,2010
277,CO,08,08065,14.4,2010
278,CO,08,08067,11.5,2010
279,CO,08,08069,13.6,2010
280,CO,08,08071,18.8,2010
281,CO,08,08073,17.9,2010
282,CO,08,08075,16.3,2010
283,CO,08,08077,14.7,2010
284,CO,08,08079,11.9,2010
285,CO,08,08081,10.1,2010
286,CO,08,08083,17.4,2010
287,CO,08,08085,15.0,2010
288,CO,08,08087,14.2,2010
289,CO,08,08089,19.9,2010
290,CO,08,08091,9.4,2010
291,CO,08,08093,9.3,2010
292,CO,08,08095,11.4,2010
293,CO,08,08097,7.0,2010
294,CO,08,08099,23.0,2010
295,CO,08,08101,19.6,2010
296,CO,08,08103,8.6,2010
297,CO,08,08105,17.3,2010
298,CO,08,08107,7.7,2010
299,CO,08,08109,25.1,2010
300,CO,08,08111,15.9,2010
301,CO,08,08113,10.0,2010
302,CO,08,08115,13.6,2010
303,CO,08,08117,10.1,2010
304,CO,08,08119,8.7,2010
305,CO,08,08121,13.9,2010
306,CO,08,08123,14.3,2010
307,CO,08,08125,12.5,2010
308,CT,09,09001,9.3,2010
309,CT,09,09003,11.3,2010
310,CT,09,09005,6.7,2010
311,CT,09,09007,6.8,2010
312,CT,09,09009,11.6,2010
313,CT,09,09011,8.9,2010
314,CT,09,09013,6.4,2010
315,CT,09,09015,11.8,2010
316,DE,10,10001,12.1,2010
317,DE,10,10003,11.2,2010
318,DE,10,10005,13.9,2010
319,DC,11,11001,18.8,2010
320,FL,12,12001,25.3,2010
321,FL,12,12003,17.5,2010
322,FL,12,12005,15.1,2010
323,FL,12,12007,19.4,2010
324,FL,12,12009,13.5,2010
325,FL,12,12011,14.7,2010
326,FL,12,12013,22.1,2010
327,FL,12,12015,13.9,2010
328,FL,12,12017,17.2,2010
329,FL,12,12019,11.3,2010
330,FL,12,12021,15.7,2010
331,FL,12,12023,19.5,2010
332,FL,12,12027,32.9,2010
333,FL,12,12029,26.6,2010
334,FL,12,12031,16.6,2010
335,FL,12,12033,19.1,2010
336,FL,12,12035,15.5,2010
337,FL,12,12037,24.2,2010
338,FL,12,12039,23.8,2010
339,FL,12,12041,21.0,2010
340,FL,12,12043,21.0,2010
341,FL,12,12045,21.1,2010
342,FL,12,12047,30.8,2010
343,FL,12,12049,30.3,2010
344,FL,12,12051,26.7,2010
345,FL,12,12053,15.1,2010
346,FL,12,12055,20.7,2010
347,FL,12,12057,16.7,2010
348,FL,12,12059,22.5,2010
349,FL,12,12061,14.4,2010
350,FL,12,12063,19.0,2010
351,FL,12,12065,18.5,2010
352,FL,12,12067,26.0,2010
353,FL,12,12069,13.5,2010
354,FL,12,12071,17.1,2010
355,FL,12,12073,26.3,2010
356,FL,12,12075,27.0,2010
357,FL,12,12077,22.9,2010
358,FL,12,12079,23.4,2010
359,FL,12,12081,14.5,2010
360,FL,12,12083,19.6,2010
361,FL,12,12085,11.3,2010
362,FL,12,12086,20.3,2010
363,FL,12,12087,12.6,2010
364,FL,12,12089,11.3,2010
365,FL,12,12091,12.4,2010
366,FL,12,12093,22.3,2010
367,FL,12,12095,16.4,2010
368,FL,12,12097,16.3,2010
369,FL,12,12099,14.3,2010
370,FL,12,12101,15.2,2010
371,FL,12,12103,14.2,2010
372,FL,12,12105,17.5,2010
373,FL,12,12107,26.7,2010
374,FL,12,12109,12.0,2010
375,FL,12,12111,17.6,2010
376,FL,12,12113,12.6,2010
377,FL,12,12115,13.1,2010
378,FL,12,12117,11.0,2010
379,FL,12,12119,13.0,2010
380,FL,12,12121,20.9,2010
381,FL,12,12123,20.6,2010
382,FL,12,12125,24.3,2010
383,FL,12,12127,16.5,2010
384,FL,12,12129,14.1,2010
385,FL,12,12131,16.5,2010
386,FL,12,12133,21.1,2010
387,GA,13,13001,24.5,2010
388,GA,13,13003,36.3,2010
389,GA,13,13005,25.6,2010
390,GA,13,13007,26.0,2010
391,GA,13,13009,27.0,2010
392,GA,13,13011,16.4,2010
393,GA,13,13013,12.0,2010
394,GA,13,13015,14.5,2010
395,GA,13,13017,27.9,2010
396,GA,13,13019,21.7,2010
397,GA,13,13021,25.9,2010
398,GA,13,13023,19.8,2010
399,GA,13,13025,23.6,2010
400,GA,13,13027,24.5,2010
401,GA,13,13029,11.8,2010
402,GA,13,13031,34.3,2010
403,GA,13,13033,32.9,2010
404,GA,13,13035,16.5,2010
405,GA,13,13037,36.8,2010
406,GA,13,13039,15.5,2010
407,GA,13,13043,25.2,2010
408,GA,13,13045,19.0,2010
409,GA,13,13047,14.3,2010
410,GA,13,13049,27.9,2010
411,GA,13,13051,19.7,2010
412,GA,13,13053,18.5,2010
413,GA,13,13055,20.5,2010
414,GA,13,13057,8.6,2010
415,GA,13,13059,33.3,2010
416,GA,13,13061,35.7,2010
417,GA,13,13063,22.6,2010
418,GA,13,13065,24.7,2010
419,GA,13,13067,14.0,2010
420,GA,13,13069,25.9,2010
421,GA,13,13071,26.2,2010
422,GA,13,13073,8.8,2010
423,GA,13,13075,24.7,2010
424,GA,13,13077,11.0,2010
425,GA,13,13079,19.0,2010
426,GA,13,13081,29.9,2010
427,GA,13,13083,16.3,2010
428,GA,13,13085,13.9,2010
429,GA,13,13087,25.1,2010
430,GA,13,13089,19.4,2010
431,GA,13,13091,22.5,2010
432,GA,13,13093,25.2,2010
433,GA,13,13095,35.1,2010
434,GA,13,13097,12.7,2010
435,GA,13,13099,27.6,2010
436,GA,13,13101,27.0,2010
437,GA,13,13103,10.6,2010
438,GA,13,13105,24.5,2010
439,GA,13,13107,29.5,2010
