lat,lon,coordinates_id
32.577165,-117.106041,1
32.575187,-117.105374,2
32.584183,-117.114592,3
32.583436,-117.10969,4
32.584957,-117.11833,5
32.583732,-117.1161,6
32.545389,-117.038186,7
32.554573,-117.051499,8
32.545016,-117.038725,10
32.583483,-117.100295,11
32.545767,-117.03984,12
32.584401,-117.108462,13
32.576988,-117.094246,14
32.542833,-117.037142,15
32.583536,-117.106531,16
32.560974,-117.062836,17
32.557521,-117.058291,18
32.583485,-117.099763,19
32.544065,-117.040566,20
32.558494,-117.059428,21
32.583468,-117.106039,22
33.344789,-118.326899,23
32.544325,-117.029098,24
32.553095,-117.046011,25
32.575033,-117.06822,26
32.550332,-117.044467,27
32.550623,-117.038356,28
32.547783,-117.034839,29
32.575596,-117.069293,30
32.576768,-117.081297,31
32.585,-117.09177,32
33.343576,-118.325138,33
32.583487,-117.084474,35
32.583458,-117.062483,36
32.579028,-117.035211,37
32.701518,-117.205498,38
32.70099,-117.20864,39
32.602797,-117.065162,40
32.60992,-117.081681,41
32.60328,-117.077784,42
32.584141,-117.039713,43
32.581404,-117.035528,44
32.60283,-117.077243,45
32.584308,-117.038368,46
32.609129,-117.081344,47
32.602808,-117.078066,48
32.602143,-117.064028,49
32.603689,-117.079304,50
32.603756,-117.078424,51
32.607345,-117.06567,52
32.606589,-117.065874,53
32.67593,-117.160933,54
32.629906,-117.092237,55
32.685918,-117.179439,56
32.724304,-117.229917,57
32.623622,-117.073351,58
32.701829,-117.19142,59
32.74145,-117.250087,60
32.640442,-117.098586,61
32.675937,-117.160961,62
32.727928,-117.226751,63
32.630349,-117.086134,64
32.721411,-117.230132,65
32.639996,-117.097143,66
32.616665,-117.070615,67
32.617305,-117.070914,68
32.626948,-117.087466,69
32.674166,-117.1624,70
32.630244,-117.093307,71
32.594343,-117.035027,72
32.631175,-117.090079,73
32.630111,-117.093684,74
32.613275,-117.069492,75
32.631388,-117.089378,77
32.582296,-117.033129,78
32.627952,-117.08794,79
32.59422,-117.039099,80
32.582713,-117.032891,81
32.607978,-117.066383,82
32.64056,-117.094336,83
32.605977,-117.039231,84
32.701873,-117.184139,85
32.697682,-117.170405,86
32.645247,-117.09542,87
32.659643,-117.106679,88
32.64518,-117.095165,89
32.749827,-117.243476,91
32.73651,-117.216529,92
32.701757,-117.183737,93
32.728096,-117.217674,94
32.640922,-117.093519,95
32.750256,-117.243159,96
32.749792,-117.242441,97
32.55354,-116.94184,179
32.63957,-117.074713,186
32.636071,-117.077569,187
32.614711,-117.025482,188
32.555605,-116.936986,189
32.555835,-116.938165,256
32.569317,-116.952468,266
32.629035,-117.045774,277
32.615576,-117.026349,278
32.65127,-117.093818,280
32.62911,-117.046157,281
32.628956,-117.03763,284
32.660721,-117.104904,286
32.651018,-117.087673,378
32.640129,-117.049294,467
32.640886,-117.050809,469
32.651199,-117.071614,471
32.636511,-117.028762,473
32.64839,-117.05939,477
32.63629,-117.021204,478
32.636225,-117.023673,479
32.620365,-116.961322,565
32.623276,-116.967591,567
32.629814,-116.96672,665
32.62921,-116.967158,667
32.641943,-116.992599,772
32.488063,-114.782723,773
32.489002,-114.782744,774
32.50543,-114.786266,775
32.628604,-116.47276,809
32.664951,-115.505671,848
32.666047,-115.496648,850
32.665536,-115.495581,851
32.665425,-115.495506,852
32.597101,-114.703838,854
32.596461,-114.708307,855
32.66812,-115.50245,856
32.671009,-115.498762,859
32.672716,-115.498334,861
32.672165,-115.498986,863
31.334246,-110.943737,870
31.335156,-110.942509,871
31.33654,-110.939854,872
31.365415,-110.94783,873
31.365074,-110.947229,874
31.365631,-110.939638,875
31.360659,-110.932501,876
31.366273,-110.937292,877
31.367059,-110.938287,878
31.366881,-110.939693,879
31.43082,-110.962011,880
31.488411,-111.007196,881
32.65595,-114.580925,887
32.6567,-114.585701,888
32.656045,-114.579993,889
32.669018,-114.647991,890
32.669835,-114.610782,891
32.672285,-114.654231,892
32.671487,-114.623454,898
32.668268,-114.493113,899
32.673725,-114.623989,900
32.665681,-114.445321,901
32.673916,-114.602481,902
32.669041,-114.495249,904
32.670685,-114.522581,905
32.667465,-114.44377,906
32.667009,-114.448251,907
32.675545,-114.623318,908
32.668542,-114.442419,909
32.669745,-114.495222,910
32.669887,-114.49452,912
32.679329,-114.625166,913
32.676435,-114.599161,916
32.682164,-114.649191,917
32.671323,-114.440982,918
32.673172,-114.443489,919
32.680601,-114.625234,920
32.682553,-114.649911,921
32.672788,-114.442928,922
32.682014,-114.650032,923
32.674259,-114.443619,924
32.684946,-114.649812,925
32.682812,-114.624742,926
32.679534,-115.483539,927
32.678852,-115.515597,928
32.679501,-115.501999,929
32.679533,-115.501988,930
32.685861,-115.379955,931
32.684367,-114.625182,932
32.683232,-115.501532,933
32.657735,-114.142826,934
32.687861,-114.625128,935
31.846543,-110.99416,936
32.691131,-114.582652,937
32.692305,-114.624901,938
32.687706,-115.500099,940
32.695107,-114.624016,941
31.852121,-110.995186,942
31.85237,-110.997497,943
32.697244,-114.624955,944
32.695812,-114.625015,945
32.697817,-114.650887,946
32.693509,-115.496007,947
32.697873,-114.609245,948
32.697903,-114.617621,949
32.697876,-114.600098,950
32.699037,-114.601622,951
32.698312,-114.621872,952
32.69788,-114.600532,953
32.699023,-114.613287,954
32.69906,-114.601065,955
32.694369,-115.495363,956
32.698012,-114.613329,957
31.85419,-110.993315,958
32.699118,-114.61021,959
32.700187,-114.649944,960
32.699114,-114.600464,961
31.504677,-110.256864,974
31.55528,-110.358075,975
31.5535,-110.345,976
31.52962,-110.26,977
31.565862,-110.337361,978
31.531311,-110.257996,979
31.565524,-110.33733,980
31.55283,-110.3013,981
31.554973,-110.292139,982
31.554325,-110.291672,983
31.554123,-110.287727,984
31.553529,-110.286942,985
31.554282,-110.278708,986
31.554247,-110.277125,987
31.555008,-110.278069,988
31.54931,-110.2582,989
31.551689,-110.256935,990
31.553951,-110.258163,991
31.555206,-110.25662,992
31.558869,-110.256571,993
31.560323,-110.260078,994
31.55994,-110.2579,996
31.400908,-109.917375,997
31.901167,-110.9864,1001
31.902976,-110.986793,1002
31.905767,-110.9883,1003
31.908487,-110.98286,1004
31.909518,-110.980387,1005
31.910727,-110.98082,1006
31.911991,-110.980379,1007
31.957602,-110.981356,1008
31.957345,-110.981709,1009
31.958317,-110.980651,1010
31.338906,-109.559752,1011
31.334351,-109.551253,1012
31.33914,-109.56056,1013
31.339638,-109.559894,1014
31.998235,-110.969996,1015
31.962389,-110.771611,1016
32.133209,-111.031454,1020
32.134221,-111.030964,1021
32.107114,-110.947202,1022
32.134151,-111.030397,1023
32.132772,-111.009142,1024
32.133426,-111.001632,1025
32.134275,-111.00241,1026
32.134283,-111.00086,1027
32.134356,-111.001398,1028
32.134277,-110.999512,1029
32.134383,-110.997524,1030
32.133414,-111.00073,1031
32.134176,-110.997071,1032
32.13609,-111.000759,1033
32.134437,-110.976972,1034
32.134383,-110.977366,1035
32.133572,-110.979068,1036
32.044976,-110.714579,1037
32.05016,-110.707091,1038
32.171978,-111.071121,1039
32.085209,-110.803313,1042
32.133592,-110.93355,1043
32.134553,-110.925795,1044
32.133609,-110.923052,1045
32.134698,-110.924771,1046
32.134729,-110.922273,1047
32.134448,-110.923208,1048
32.116069,-110.858812,1049
32.085789,-110.773676,1050
32.084575,-110.773261,1051
32.08947,-110.776233,1052
32.088957,-110.774804,1053
32.163908,-110.988974,1054
31.961704,-110.346204,1116
31.963006,-110.346681,1119
32.089028,-110.773501,1137
32.089349,-110.774297,1138
31.970316,-110.313122,1139
31.969512,-110.305125,1140
31.970046,-110.308246,1143
31.966902,-110.288686,1144
32.125995,-110.874069,1150
32.103818,-110.773101,1152
32.118584,-110.798135,1247
32.13374,-110.885829,1344
32.139363,-110.767765,1425
30.31002,-104.019759,1482
31.509605,-106.149595,1483
31.517232,-106.135266,1484
31.594141,-106.273164,1485
31.600486,-106.275206,1486
31.034568,-104.85556,1487
31.650314,-106.286336,1494
31.036008,-104.830011,1497
31.649324,-106.277041,1498
31.654487,-106.289967,1499
31.036111,-104.8302,1500
31.661264,-106.305359,1501
31.653099,-106.268954,1503
31.65313,-106.269276,1504
31.680615,-106.313786,1507
31.657883,-106.242447,1508
31.681176,-106.312667,1509
31.661556,-106.237438,1510
31.695727,-106.337568,1511
31.692195,-106.328033,1512
31.692377,-106.327486,1513
31.693622,-106.331627,1514
31.700222,-106.339392,1515
31.753389,-106.489339,1516
31.703964,-106.320059,1517
31.755277,-106.488681,1518
31.753221,-106.485542,1519
31.754924,-106.488288,1520
31.703308,-106.318786,1521
31.704238,-106.317708,1522
31.70553,-106.318775,1523
31.705403,-106.31711,1524
31.755812,-106.48643,1525
31.754915,-106.487294,1526
31.706542,-106.316649,1528
31.68945,-106.264808,1529
31.705977,-106.315432,1530
31.70669,-106.318364,1531
31.690774,-106.260976,1532
31.692101,-106.260936,1533
31.767842,-106.505781,1534
31.762863,-106.480417,1535
31.771269,-106.498972,1537
31.732762,-106.36814,1538
31.733215,-106.368712,1539
31.772612,-106.499791,1540
30.359835,-103.655704,1546
30.360638,-103.653404,1547
31.682225,-106.201123,1600
31.682425,-106.199331,1601
31.682638,-106.20094,1603
31.682039,-106.187993,1609
31.683606,-106.188325,1611
31.6987,-106.238488,1618
31.728499,-106.349038,1622
31.729004,-106.346571,1626
31.724173,-106.302174,1632
31.72493,-106.306106,1633
31.726215,-106.303439,1634
31.72652,-106.3021,1635
31.741714,-106.378125,1636
31.728055,-106.299707,1637
31.728308,-106.302651,1638
31.728273,-106.303494,1639
30.144134,-102.406091,1647
31.73031,-106.302629,1700
31.73899,-106.345601,1701
31.736535,-106.294124,1703
31.742465,-106.364129,1704
31.74229,-106.357671,1705
31.739075,-106.315882,1706
31.740048,-106.289379,1709
31.744939,-106.302342,1714
31.747217,-106.318381,1715
31.747241,-106.318378,1716
31.748534,-106.318259,1717
31.747168,-106.28386,1718
31.753425,-106.343979,1719
31.753029,-106.344352,1720
31.753026,-106.339989,1721
31.753664,-106.3428,1722
31.752365,-106.318332,1723
31.751179,-106.301369,1724
31.754262,-106.344422,1725
31.749106,-106.280948,1726
31.752248,-106.318323,1727
31.754706,-106.347414,1728
31.755942,-106.348248,1730
31.754872,-106.342922,1731
31.751843,-106.302261,1732
31.756315,-106.34156,1733
28.707267,-100.502881,1741
28.699388,-100.484876,1742
28.686579,-100.472935,1743
