state_id,State,2008,2010,2012,2014,2016,2018,2020
02,AK,19.28185978,19.26412162,19.28866254,17.18691791,18.01139759,17.63333387,17.58476904
01,AL,14.42854558,14.95988185,14.9372021,15.29156274,15.73947365,15.5622872,14.85565983
05,AR,13.45548242,14.97702283,14.46582001,13.93900607,13.48038661,13.47682643,13.7164423
04,AZ,16.1346923,15.4571906,14.98176156,13.73171413,13.18812673,13.54280328,13.49934795
06,CA,17.49689593,17.71330516,16.83561707,15.55140596,14.82453223,14.90028774,15.95557867
08,CO,10.78828371,11.10104858,9.88249629,9.715246034,9.422855458,9.669464053,9.881523546
09,CT,15.46534514,15.16611815,14.97743164,14.02119947,13.38884277,12.92379325,12.92150541
11,DC,14.29321903,14.27707238,13.72401938,13.0467577,11.55110247,12.33315506,12.44655816
10,DE,16.27155926,16.82913352,16.43876643,15.70204005,15.91444078,15.64801224,16.75149119
12,FL,15.08245428,14.72581729,13.78670636,12.95173098,13.06570965,13.08325161,13.52770161
13,GA,14.6470546,13.94641833,13.12089124,12.58941483,12.29241793,12.64756735,12.43704428
19,HI,11.75722921,11.17911226,11.43039226,11.33367715,10.74433208,11.49411053,11.31770889
16,IA,15.82483075,15.73992954,14.99565483,15.12458913,15.51803136,15.61074422,15.6328087
17,ID,13.28215007,12.94842258,12.09441024,11.8443616,11.72547753,12.12718272,11.9992806
18,IL,14.25735595,14.58362089,14.29835897,14.10224908,13.98214901,13.91951069,13.82171418
20,IN,14.97658008,15.38204834,14.85690958,14.34685171,13.38049519,13.62958112,13.27105406
21,KS,14.53715502,14.59635093,13.87847757,13.58366711,13.12423155,13.64220036,12.77753249
22,KY,17.04927901,17.88676871,13.27202178,13.1701538,16.20536908,16.27154881,15.6773357
25,LA,15.66961021,15.32518758,14.63855825,14.48248984,14.45139159,14.12801704,14.02529844
24,MA,17.25108666,16.89942029,16.22841305,15.72540833,15.617551,15.51450739,16.15934967
23,MD,16.29282163,16.58376879,15.93923569,15.82308437,15.42928134,15.99408465,16.07042453
26,ME,15.39091808,15.05635426,14.02308985,13.67542205,13.46740328,13.93983305,14.53801001
27,MI,14.39885212,14.8867733,14.4552834,13.93756395,13.93660015,14.18836534,14.08849402
29,MN,14.14280708,13.727538,13.48331715,13.12799326,13.42219299,13.56238698,13.32192121
28,MO,15.58614257,14.55907415,13.28041991,12.68285436,12.51651921,12.52297871,12.59458557
30,MS,16.63540718,15.84340411,15.41352952,14.50546743,14.35068804,13.77900773,13.79059347
37,MT,14.05704477,12.78150752,12.00248803,12.53772367,12.0373825,12.20764091,11.8587262
38,NC,13.76544744,13.56395481,12.79710498,14.34743618,13.77892826,13.9987309,13.39734698
31,ND,15.48029815,14.65799863,14.5953684,14.30568963,14.97099891,15.55102327,15.80686325
33,NE,15.24617127,15.24032049,16.89100557,16.8128445,14.71103531,14.19106004,13.69746976
34,NH,16.49414143,15.2476663,14.61331683,14.72535984,15.73831975,16.0656985,15.99985533
35,NJ,17.8084128,17.31776053,15.85644044,14.84182972,14.51670952,14.25111901,14.7461269
32,NM,12.78433656,15.398224,13.47885921,12.42805978,11.96319749,12.76140602,11.87588651
36,NV,13.80267125,14.34316461,13.18217419,13.06331426,12.67004615,12.70216231,11.82424329
39,NY,16.1303938,16.08599799,14.79411991,14.10062017,13.60292542,13.69158577,13.30363566
40,OH,13.2782143,13.70227303,13.6529634,13.68542887,13.33147839,12.98724949,12.91418612
41,OK,15.31769343,15.68678401,15.16924318,13.18748045,13.06954989,13.55450774,12.92146119
42,OR,14.68619948,15.01269058,15.20474979,14.73385358,14.24508418,14.34894221,14.20616901
44,PA,12.66069043,13.86894418,13.95547287,13.36603617,13.17103437,13.63871872,13.44200811
46,RI,17.18195999,16.16829708,15.93414858,15.91927166,15.03050142,16.37809655,16.15125786
47,SC,14.69131627,14.01620674,13.32346378,12.78835938,11.55432661,11.98099404,12.59230808
48,SD,17.29599825,17.99665907,15.5502292,17.21748021,18.35794709,15.59024482,15.75450778
49,TN,14.89104844,15.68894249,14.78753109,14.04984746,14.09967115,14.11326379,13.85726633
51,TX,17.29775268,16.89383671,15.88693144,15.04824766,14.98022817,15.74469395,15.62685713
50,UT,14.02373368,13.32758861,9.108690366,8.930247236,8.965044217,9.042236122,8.980570425
53,VA,21.43700378,21.73292655,20.76396762,20.4548517,14.97827609,15.51465086,15.07524996
54,VT,13.41330278,13.1791065,13.18680114,13.75186882,14.73535617,14.07079839,14.09729842
56,WA,15.85662507,15.56027691,15.02705499,14.19585172,14.03524151,14.30758801,15.05577259
55,WI,15.28664324,15.98798234,15.64893144,15.24235105,14.93922334,14.97660222,15.55979999
54,WV,13.29739948,12.84269261,13.16764347,15.06878498,15.43663837,15.38864571,15.50874471
56,WY,10.62868558,13.10451462,12.11150338,9.724478424,9.681209523,10.53067033,10.92116038
